Sub District Code,Granularity,Name,Type,villages_Inhabited,villages_Uninhabited,towns,households,Persons,Males,Females,Area,Density
0,DISTRICT,Baran,Rural,"1,114",107,0,"1,91,526","12,22,755","6,33,945","5,88,810",6846.71,141
0,DISTRICT,Baran,Urban,"1,114",107,8,"49,902","9,68,541","5,02,228","4,66,313",145.29,"1,750"
670,SUB-DISTRICT,Mangrol,Total,0,0,1,"20,516","2,54,214","1,31,717","1,22,497",440.31,243
670,SUB-DISTRICT,Mangrol,Rural,73,6,0,"15,884","1,06,963","55,439","51,524",412.86,198
670,SUB-DISTRICT,Mangrol,Urban,73,6,1,"4,632","81,890","42,524","39,366",27.45,913
671,SUB-DISTRICT,Antah,Total,0,0,1,"23,218","25,073","12,915","12,158",543.45,221
671,SUB-DISTRICT,Antah,Rural,79,3,0,"16,906","1,20,038","62,258","57,780",519.97,169
671,SUB-DISTRICT,Antah,Urban,79,3,1,"6,312","87,661","45,440","42,221",23.48,"1,379"
672,SUB-DISTRICT,Baran,Total,0,0,1,"41,400","32,377","16,818","15,559",626.87,341
672,SUB-DISTRICT,Baran,Rural,90,2,0,"18,123","2,13,555","1,10,789","1,02,766",554.51,172
672,SUB-DISTRICT,Baran,Urban,90,2,1,"23,277","95,563","49,718","45,845",72.36,"1,631"
673,SUB-DISTRICT,Atru,Total,0,0,3,"29,129","1,17,992","61,071","56,921",833.7,180
673,SUB-DISTRICT,Atru,Rural,141,2,0,"23,593","1,49,959","77,887","72,072",823.7,148
673,SUB-DISTRICT,Atru,Urban,141,2,3,"5,536","1,22,309","63,473","58,836",10,"2,765"
674,SUB-DISTRICT,Kishanganj,Total,0,0,0,"33,345","27,650","14,414","13,236",1425.89,117
674,SUB-DISTRICT,Kishanganj,Rural,190,23,0,"33,345","1,66,864","85,961","80,903",1425.89,117
674,SUB-DISTRICT,Kishanganj,Urban,190,23,0,0,"1,66,864","85,961","80,903",0,0
675,SUB-DISTRICT,Shahbad,Total,0,0,0,"28,480",0,0,0,1471.37,97
675,SUB-DISTRICT,Shahbad,Rural,177,59,0,"28,480","1,42,061","73,716","68,345",1471.37,97
675,SUB-DISTRICT,Shahbad,Urban,177,59,0,0,"1,42,061","73,716","68,345",0,0
676,SUB-DISTRICT,Chhabra,Total,0,0,1,"29,790",0,0,0,800.05,191
676,SUB-DISTRICT,Chhabra,Rural,188,6,0,"23,464","1,52,429","79,667","72,762",791.05,152
676,SUB-DISTRICT,Chhabra,Urban,188,6,1,"6,326","1,20,144","62,823","57,321",9,"3,587"
677,SUB-DISTRICT,Chhipabarod,Total,0,0,1,"35,550","32,285","16,844","15,441",850.37,201
677,SUB-DISTRICT,Chhipabarod,Rural,176,6,0,"31,731","1,70,886","88,228","82,658",847.37,179
677,SUB-DISTRICT,Chhipabarod,Urban,176,6,1,"3,819","1,52,049","78,573","73,476",3,"6,279"
0,DISTRICT,Jhalawar,Total,0,0,9,"2,83,295","18,837","9,655","9,182",6219,227
0,DISTRICT,Jhalawar,Rural,"1,488",118,0,"2,37,702","14,11,129","7,25,143","6,85,986",6109.11,193
0,DISTRICT,Jhalawar,Urban,"1,488",118,9,"45,593","11,81,838","6,06,533","5,75,305",109.89,"2,087"
678,SUB-DISTRICT,Khanpur,Total,0,0,1,"32,687","2,29,291","1,18,610","1,10,681",919.09,188
678,SUB-DISTRICT,Khanpur,Rural,193,13,0,"29,973","1,73,193","89,958","83,235",917.09,174
678,SUB-DISTRICT,Khanpur,Urban,193,13,1,"2,714","1,59,345","82,830","76,515",2,"6,924"
679,SUB-DISTRICT,Jhalrapatan,Total,0,0,3,"73,231","13,848","7,128","6,720",1266.95,282
679,SUB-DISTRICT,Jhalrapatan,Rural,353,37,0,"50,258","3,56,707","1,83,599","1,73,108",1228.83,197
679,SUB-DISTRICT,Jhalrapatan,Urban,353,37,3,"22,973","2,42,470","1,24,380","1,18,090",38.12,"2,997"
680,SUB-DISTRICT,Aklera,Total,0,0,1,"37,091","1,14,237","59,219","55,018",780.3,229
680,SUB-DISTRICT,Aklera,Rural,232,35,0,"31,962","1,78,571","92,070","86,501",775.3,196
680,SUB-DISTRICT,Aklera,Urban,232,35,1,"5,129","1,52,331","78,355","73,976",5,"5,248"
681,SUB-DISTRICT,Manohar Thana,Total,0,0,1,"30,016","26,240","13,715","12,525",624.28,229
681,SUB-DISTRICT,Manohar Thana,Rural,188,5,0,"27,634","1,43,075","73,213","69,862",611.84,215
681,SUB-DISTRICT,Manohar Thana,Urban,188,5,1,"2,382","1,31,783","67,329","64,454",12.44,908
682,SUB-DISTRICT,Pachpahar,Total,0,0,1,"34,502","11,292","5,884","5,408",688.03,261
682,SUB-DISTRICT,Pachpahar,Rural,133,8,0,"26,172","1,79,418","91,844","87,574",648.03,212
682,SUB-DISTRICT,Pachpahar,Urban,133,8,1,"8,330","1,37,135","70,046","67,089",40,"1,057"
683,SUB-DISTRICT,Pirawa,Total,0,0,1,"41,824","42,283","21,798","20,485",1028.53,207
683,SUB-DISTRICT,Pirawa,Rural,205,13,0,"39,538","2,12,679","1,08,915","1,03,764",1019.53,196
683,SUB-DISTRICT,Pirawa,Urban,205,13,1,"2,286","1,99,872","1,02,444","97,428",9,"1,423"
684,SUB-DISTRICT,Gangdhar,Total,0,0,1,"33,944","12,807","6,471","6,336",911.83,184
684,SUB-DISTRICT,Gangdhar,Rural,184,7,0,"32,165","1,67,486","85,544","81,942",908.5,175
684,SUB-DISTRICT,Gangdhar,Urban,184,7,1,"1,779","1,58,902","81,149","77,753",3.33,"2,578"
0,DISTRICT,Udaipur,Total,0,0,17,"6,23,531","8,584","4,395","4,189",11724,262
0,DISTRICT,Udaipur,Rural,"2,471",8,0,"4,95,973","30,68,420","15,66,801","15,01,619",11543.39,213
0,DISTRICT,Udaipur,Urban,"2,471",8,17,"1,27,558","24,59,994","12,51,316","12,08,678",180.61,"3,369"
685,SUB-DISTRICT,Mavli,Total,0,0,2,"51,890","6,08,426","3,15,485","2,92,941",841.82,301
685,SUB-DISTRICT,Mavli,Rural,178,1,0,"45,513","2,53,344","1,28,830","1,24,514",814.81,272
685,SUB-DISTRICT,Mavli,Urban,178,1,2,"6,377","2,21,333","1,12,497","1,08,836",27.01,"1,185"
686,SUB-DISTRICT,Gogunda,Total,0,0,1,"44,340","32,011","16,333","15,678",1012.5,212
686,SUB-DISTRICT,Gogunda,Rural,232,0,0,"42,478","2,14,948","1,09,673","1,05,275",1004.87,205
686,SUB-DISTRICT,Gogunda,Urban,232,0,1,"1,862","2,06,197","1,05,190","1,01,007",7.63,"1,147"
687,SUB-DISTRICT,Kotra,Total,0,0,0,"41,790","8,751","4,483","4,268",1737.8,133
687,SUB-DISTRICT,Kotra,Rural,262,0,0,"41,790","2,30,532","1,16,764","1,13,768",1737.8,133
687,SUB-DISTRICT,Kotra,Urban,262,0,0,0,"2,30,532","1,16,764","1,13,768",0,0
688,SUB-DISTRICT,Jhadol,Total,0,0,0,"51,655",0,0,0,1429.58,174
688,SUB-DISTRICT,Jhadol,Rural,283,0,0,"51,655","2,49,297","1,26,124","1,23,173",1429.58,174
688,SUB-DISTRICT,Jhadol,Urban,283,0,0,0,"2,49,297","1,26,124","1,23,173",0,0
689,SUB-DISTRICT,Girwa,Total,0,0,5,"1,86,254",0,0,0,1865.94,481
689,SUB-DISTRICT,Girwa,Rural,325,0,0,"83,552","8,98,133","4,62,688","4,35,445",1777.69,231
689,SUB-DISTRICT,Girwa,Urban,325,0,5,"1,02,702","4,10,114","2,09,419","2,00,695",88.25,"5,530"
690,SUB-DISTRICT,Vallabhnagar,Total,0,0,2,"56,959","4,88,019","2,53,269","2,34,750",1071.46,254
690,SUB-DISTRICT,Vallabhnagar,Rural,300,5,0,"50,574","2,71,679","1,38,834","1,32,845",1061.57,227
690,SUB-DISTRICT,Vallabhnagar,Urban,300,5,2,"6,385","2,40,562","1,22,619","1,17,943",9.89,"3,146"
691,SUB-DISTRICT,Lasadiya,Total,0,0,0,"18,864","31,117","16,215","14,902",547.78,167
691,SUB-DISTRICT,Lasadiya,Rural,113,1,0,"18,864","91,229","46,364","44,865",547.78,167
691,SUB-DISTRICT,Lasadiya,Urban,113,1,0,0,"91,229","46,364","44,865",0,0
692,SUB-DISTRICT,Salumbar,Total,0,0,1,"50,813",0,0,0,982.57,253
692,SUB-DISTRICT,Salumbar,Rural,268,0,0,"47,423","2,48,337","1,25,974","1,22,363",978.57,237
692,SUB-DISTRICT,Salumbar,Urban,268,0,1,"3,390","2,31,912","1,17,554","1,14,358",4,"4,106"
693,SUB-DISTRICT,Sarada,Total,0,0,4,"47,845","16,425","8,420","8,005",926.52,250
693,SUB-DISTRICT,Sarada,Rural,191,0,0,"44,467","2,31,209","1,18,025","1,13,184",892.85,242
693,SUB-DISTRICT,Sarada,Urban,191,0,4,"3,378","2,15,858","1,10,022","1,05,836",33.67,456
694,SUB-DISTRICT,Rishabhdeo,Total,0,0,1,"32,771","15,351","8,003","7,348",670.51,258
694,SUB-DISTRICT,Rishabhdeo,Rural,125,0,0,"30,850","1,72,935","88,216","84,719",662.38,247
694,SUB-DISTRICT,Rishabhdeo,Urban,125,0,1,"1,921","1,63,764","83,447","80,317",8.13,"1,128"
695,SUB-DISTRICT,Kherwara,Total,0,0,1,"40,350","9,171","4,769","4,402",637.51,324
695,SUB-DISTRICT,Kherwara,Rural,194,1,0,"38,807","2,06,777","1,05,309","1,01,468",635.48,313
695,SUB-DISTRICT,Kherwara,Urban,194,1,1,"1,543","1,99,196","1,01,316","97,880",2.03,"3,734"
0,DISTRICT,Pratapgarh,Total,0,0,3,"1,78,726","7,581","3,993","3,588",4449,195
0,DISTRICT,Pratapgarh,Rural,970,33,0,"1,63,810","8,67,848","4,37,744","4,30,104",4420.32,180
0,DISTRICT,Pratapgarh,Urban,970,33,3,"14,916","7,96,041","4,01,171","3,94,870",28.68,"2,504"
696,SUB-DISTRICT,Dhariawad,Total,0,0,1,"38,775","71,807","36,573","35,234",922.85,206
696,SUB-DISTRICT,Dhariawad,Rural,167,0,0,"36,373","1,89,872","94,500","95,372",913.73,195
696,SUB-DISTRICT,Dhariawad,Urban,167,0,1,"2,402","1,78,504","88,752","89,752",9.12,"1,246"
697,SUB-DISTRICT,Peepalkhoont,Total,0,0,0,"32,509","11,368","5,748","5,620",836.13,184
697,SUB-DISTRICT,Peepalkhoont,Rural,204,3,0,"32,509","1,54,063","77,910","76,153",836.13,184
697,SUB-DISTRICT,Peepalkhoont,Urban,204,3,0,0,"1,54,063","77,910","76,153",0,0
698,SUB-DISTRICT,Chhoti Sadri,Total,0,0,1,"27,792",0,0,0,720.76,186
698,SUB-DISTRICT,Chhoti Sadri,Rural,147,8,0,"24,027","1,34,077","68,030","66,047",713.76,162
698,SUB-DISTRICT,Chhoti Sadri,Urban,147,8,1,"3,765","1,15,717","58,704","57,013",7,"2,623"
699,SUB-DISTRICT,Pratapgarh,Total,0,0,1,"51,430","18,360","9,326","9,034",1318.08,189
699,SUB-DISTRICT,Pratapgarh,Rural,272,21,0,"42,681","2,48,813","1,26,454","1,22,359",1305.52,158
699,SUB-DISTRICT,Pratapgarh,Urban,272,21,1,"8,749","2,06,734","1,04,955","1,01,779",12.56,"3,350"
700,SUB-DISTRICT,Arnod,Total,0,0,0,"28,220","42,079","21,499","20,580",651.17,217
700,SUB-DISTRICT,Arnod,Rural,180,1,0,"28,220","1,41,023","70,850","70,173",651.17,217
700,SUB-DISTRICT,Arnod,Urban,180,1,0,0,"1,41,023","70,850","70,173",0,0
0,STATE,UTTAR PRADESH,Total,0,0,915,"3,34,48,035",0,0,0,240928,829
0,STATE,UTTAR PRADESH,Rural,"97,814","8,960",0,"2,56,85,942","19,98,12,341","10,44,80,510","9,53,31,831",233365.71,666
0,STATE,UTTAR PRADESH,Urban,"97,814","8,960",915,"77,62,093","15,53,17,278","8,09,92,995","7,43,24,283",7562.29,"5,884"
0,DISTRICT,Saharanpur,Total,0,0,16,"5,97,656","4,44,95,063","2,34,87,515","2,10,07,548",3689,940
0,DISTRICT,Saharanpur,Rural,"1,243",329,0,"4,08,198","34,66,382","18,34,106","16,32,276",3582.67,670
0,DISTRICT,Saharanpur,Urban,"1,243",329,16,"1,89,458","23,99,856","12,69,803","11,30,053",106.33,"10,030"
701,SUB-DISTRICT,Behat,Total,0,0,2,"91,107","10,66,526","5,64,303","5,02,223",1019.95,509
701,SUB-DISTRICT,Behat,Rural,263,61,0,"85,403","5,19,420","2,73,686","2,45,734",1013.95,478
701,SUB-DISTRICT,Behat,Urban,263,61,2,"5,704","4,84,672","2,55,338","2,29,334",6,"5,791"
702,SUB-DISTRICT,Saharanpur,Total,0,0,4,"2,42,107","34,748","18,348","16,400",786.69,"1,741"
702,SUB-DISTRICT,Saharanpur,Rural,319,106,0,"1,07,799","13,69,818","7,21,946","6,47,872",726.62,879
702,SUB-DISTRICT,Saharanpur,Urban,319,106,4,"1,34,308","6,38,422","3,36,615","3,01,807",60.07,"12,176"
703,SUB-DISTRICT,Nakur,Total,0,0,6,"1,15,911","7,31,396","3,85,331","3,46,065",860.1,813
703,SUB-DISTRICT,Nakur,Rural,334,66,0,"91,927","6,98,990","3,70,208","3,28,782",834.95,661
703,SUB-DISTRICT,Nakur,Urban,334,66,6,"23,984","5,51,905","2,92,726","2,59,179",25.15,"5,848"
704,SUB-DISTRICT,Deoband,Total,0,0,2,"85,819","1,47,085","77,482","69,603",551.81,932
704,SUB-DISTRICT,Deoband,Rural,178,58,0,"69,141","5,14,338","2,75,374","2,38,964",542.7,758
704,SUB-DISTRICT,Deoband,Urban,178,58,2,"16,678","4,11,571","2,18,868","1,92,703",9.11,"11,281"
705,SUB-DISTRICT,Rampur Maniharan,Total,0,0,2,"62,712","1,02,767","56,506","46,261",470.46,773
705,SUB-DISTRICT,Rampur Maniharan,Rural,149,38,0,"53,928","3,63,816","1,92,892","1,70,924",464.46,675
705,SUB-DISTRICT,Rampur Maniharan,Urban,149,38,2,"8,784","3,13,286","1,66,256","1,47,030",6,"8,422"
0,DISTRICT,Muzaffarnagar,Total,0,0,27,"6,76,642","50,530","26,636","23,894",4008,"1,034"
0,DISTRICT,Muzaffarnagar,Rural,880,139,0,"4,75,749","41,43,512","21,93,434","19,50,078",3867.59,763
0,DISTRICT,Muzaffarnagar,Urban,880,139,27,"2,00,893","29,52,200","15,65,004","13,87,196",140.41,"8,485"
706,SUB-DISTRICT,Kairana,Total,0,0,4,"94,032","11,91,312","6,28,430","5,62,882",655.24,895
706,SUB-DISTRICT,Kairana,Rural,149,26,0,"67,401","5,86,254","3,11,236","2,75,018",633.59,658
706,SUB-DISTRICT,Kairana,Urban,149,26,4,"26,631","4,16,594","2,21,685","1,94,909",21.65,"7,836"
707,SUB-DISTRICT,Shamli,Total,0,0,6,"1,13,304","1,69,660","89,551","80,109",610.46,"1,126"
707,SUB-DISTRICT,Shamli,Rural,134,1,0,"76,743","6,87,324","3,66,378","3,20,946",569.8,826
707,SUB-DISTRICT,Shamli,Urban,134,1,6,"36,561","4,70,882","2,51,293","2,19,589",40.66,"5,323"
708,SUB-DISTRICT,Muzaffarnagar,Total,0,0,7,"2,34,160","2,16,442","1,15,085","1,01,357",1044.93,"1,346"
708,SUB-DISTRICT,Muzaffarnagar,Rural,235,31,0,"1,39,315","14,06,843","7,42,817","6,64,026",1001.28,861
708,SUB-DISTRICT,Muzaffarnagar,Urban,235,31,7,"94,845","8,61,606","4,55,802","4,05,804",43.65,"12,491"
709,SUB-DISTRICT,Budhana,Total,0,0,3,"82,129","5,45,237","2,87,015","2,58,222",520.89,"1,022"
709,SUB-DISTRICT,Budhana,Rural,110,9,0,"68,529","5,32,496","2,83,239","2,49,257",508.45,872
709,SUB-DISTRICT,Budhana,Urban,110,9,3,"13,600","4,43,529","2,36,360","2,07,169",12.44,"7,152"
710,SUB-DISTRICT,Khatauli,Total,0,0,4,"72,243","88,967","46,879","42,088",437.57,992
710,SUB-DISTRICT,Khatauli,Rural,121,16,0,"53,964","4,33,910","2,28,574","2,05,336",430.06,767
710,SUB-DISTRICT,Khatauli,Urban,121,16,4,"18,279","3,29,802","1,73,818","1,55,984",7.51,"13,863"
711,SUB-DISTRICT,Jansath,Total,0,0,3,"80,774","1,04,108","54,756","49,352",738.9,672
711,SUB-DISTRICT,Jansath,Rural,131,56,0,"69,797","4,96,685","2,61,190","2,35,495",724.4,593
711,SUB-DISTRICT,Jansath,Urban,131,56,3,"10,977","4,29,787","2,26,046","2,03,741",14.5,"4,614"
0,DISTRICT,Bijnor,Total,0,0,26,"6,33,197","66,898","35,144","31,754",4561,807
0,DISTRICT,Bijnor,Rural,"2,186",798,0,"4,78,997","36,82,713","19,21,215","17,61,498",4451.28,619
0,DISTRICT,Bijnor,Urban,"2,186",798,26,"1,54,200","27,57,401","14,38,412","13,18,989",109.72,"8,433"
712,SUB-DISTRICT,Najibabad,Total,0,0,5,"1,24,255","9,25,312","4,82,803","4,42,509",891.45,809
712,SUB-DISTRICT,Najibabad,Rural,402,118,0,"90,493","7,21,574","3,76,904","3,44,670",875.94,595
712,SUB-DISTRICT,Najibabad,Urban,402,118,5,"33,762","5,21,247","2,72,495","2,48,752",15.51,"12,916"
713,SUB-DISTRICT,Bijnor,Total,0,0,6,"1,11,966","2,00,327","1,04,409","95,918",830.63,757
713,SUB-DISTRICT,Bijnor,Rural,374,177,0,"79,608","6,28,536","3,30,739","2,97,797",811.48,557
713,SUB-DISTRICT,Bijnor,Urban,374,177,6,"32,358","4,51,657","2,37,985","2,13,672",19.15,"9,237"
714,SUB-DISTRICT,Nagina,Total,0,0,3,"83,525","1,76,879","92,754","84,125",692.36,726
714,SUB-DISTRICT,Nagina,Rural,352,184,0,"64,178","5,02,488","2,60,034","2,42,454",679.13,549
714,SUB-DISTRICT,Nagina,Urban,352,184,3,"19,347","3,72,565","1,92,475","1,80,090",13.23,"9,820"
715,SUB-DISTRICT,Dhampur,Total,0,0,9,"1,92,787","1,29,923","67,559","62,364",1350.17,832
715,SUB-DISTRICT,Dhampur,Rural,658,231,0,"1,45,233","11,23,962","5,85,405","5,38,557",1314.29,637
715,SUB-DISTRICT,Dhampur,Urban,658,231,9,"47,554","8,36,723","4,35,289","4,01,434",35.88,"8,006"
716,SUB-DISTRICT,Chandpur,Total,0,0,3,"1,20,664","2,87,239","1,50,116","1,37,123",796.39,887
716,SUB-DISTRICT,Chandpur,Rural,400,88,0,"99,485","7,06,153","3,68,133","3,38,020",770.44,747
716,SUB-DISTRICT,Chandpur,Urban,400,88,3,"21,179","5,75,209","3,00,168","2,75,041",25.95,"5,046"
0,DISTRICT,Moradabad,Total,0,0,17,"7,96,170","1,30,944","67,965","62,979",3718,"1,283"
0,DISTRICT,Moradabad,Rural,"1,550",243,0,"5,22,763","47,72,006","25,03,186","22,68,820",3569.67,896
0,DISTRICT,Moradabad,Urban,"1,550",243,17,"2,73,407","31,98,383","16,80,022","15,18,361",148.33,"10,609"
717,SUB-DISTRICT,Thakurdwara,Total,0,0,1,"82,227","15,73,623","8,23,164","7,50,459",541.12,928
717,SUB-DISTRICT,Thakurdwara,Rural,241,69,0,"75,401","5,02,000","2,62,978","2,39,022",531.14,862
717,SUB-DISTRICT,Thakurdwara,Urban,241,69,1,"6,826","4,57,745","2,39,932","2,17,813",9.98,"4,434"
718,SUB-DISTRICT,Kanth,Total,0,0,3,"50,803","44,255","23,046","21,209",395.37,769
718,SUB-DISTRICT,Kanth,Rural,155,44,0,"41,862","3,04,082","1,58,646","1,45,436",393.46,635
718,SUB-DISTRICT,Kanth,Urban,155,44,3,"8,941","2,49,965","1,30,653","1,19,312",1.91,"28,334"
719,SUB-DISTRICT,Moradabad,Total,0,0,5,"2,81,745","54,117","27,993","26,124",754.78,"2,182"
719,SUB-DISTRICT,Moradabad,Rural,267,49,0,"1,07,337","16,46,613","8,61,734","7,84,879",665.45,"1,014"
719,SUB-DISTRICT,Moradabad,Urban,267,49,5,"1,74,408","6,74,655","3,53,501","3,21,154",89.33,"10,881"
720,SUB-DISTRICT,Bilari,Total,0,0,3,"1,09,896","9,71,958","5,08,233","4,63,725",542.14,"1,243"
720,SUB-DISTRICT,Bilari,Rural,300,39,0,"95,289","6,73,812","3,53,677","3,20,135",533.18,"1,102"
720,SUB-DISTRICT,Bilari,Urban,300,39,3,"14,607","5,87,617","3,08,311","2,79,306",8.96,"9,620"
721,SUB-DISTRICT,Sambhal,Total,0,0,2,"1,61,176","86,195","45,366","40,829",867.5,"1,145"
721,SUB-DISTRICT,Sambhal,Rural,363,28,0,"1,22,189","9,93,393","5,21,248","4,72,145",848.45,879
721,SUB-DISTRICT,Sambhal,Urban,363,28,2,"38,987","7,46,061","3,91,713","3,54,348",19.05,"12,983"
722,SUB-DISTRICT,Chandausi,Total,0,0,3,"1,10,323","2,47,332","1,29,535","1,17,797",617.09,"1,057"
722,SUB-DISTRICT,Chandausi,Rural,224,14,0,"80,685","6,52,106","3,44,903","3,07,203",597.99,807
722,SUB-DISTRICT,Chandausi,Urban,224,14,3,"29,638","4,82,340","2,55,912","2,26,428",19.1,"8,888"
0,DISTRICT,Rampur,Total,0,0,10,"3,93,736","1,69,766","88,991","80,775",2367,987
0,DISTRICT,Rampur,Rural,"1,108",55,0,"2,90,515","23,35,819","12,23,889","11,11,930",2265.24,771
0,DISTRICT,Rampur,Urban,"1,108",55,10,"1,03,221","17,47,172","9,16,878","8,30,294",101.76,"5,785"
723,SUB-DISTRICT,Suar,Total,0,0,2,"56,180","5,88,647","3,07,011","2,81,636",407.76,842
723,SUB-DISTRICT,Suar,Rural,183,6,0,"48,128","3,43,409","1,79,287","1,64,122",402.46,729
723,SUB-DISTRICT,Suar,Urban,183,6,2,"8,052","2,93,514","1,53,304","1,40,210",5.3,"9,414"
724,SUB-DISTRICT,Tanda,Total,0,0,1,"55,267","49,895","25,983","23,912",312.59,"1,090"
724,SUB-DISTRICT,Tanda,Rural,166,14,0,"47,282","3,40,587","1,78,306","1,62,281",303.52,964
724,SUB-DISTRICT,Tanda,Urban,166,14,1,"7,985","2,92,528","1,53,146","1,39,382",9.07,"5,299"
725,SUB-DISTRICT,Bilaspur,Total,0,0,2,"50,019","48,059","25,160","22,899",486.54,594
725,SUB-DISTRICT,Bilaspur,Rural,207,6,0,"37,727","2,89,195","1,51,288","1,37,907",452.54,479
725,SUB-DISTRICT,Bilaspur,Urban,207,6,2,"12,292","2,16,589","1,13,531","1,03,058",34,"2,135"
726,SUB-DISTRICT,Rampur,Total,0,0,3,"1,15,488","72,606","37,757","34,849",328.78,"2,041"
726,SUB-DISTRICT,Rampur,Rural,166,5,0,"52,417","6,70,879","3,50,777","3,20,102",301.41,"1,067"
726,SUB-DISTRICT,Rampur,Urban,166,5,3,"63,071","3,21,621","1,68,571","1,53,050",27.37,"12,761"
727,SUB-DISTRICT,Shahabad ,Total,0,0,1,"59,601","3,49,258","1,82,206","1,67,052",430.3,825
727,SUB-DISTRICT,Shahabad ,Rural,189,19,0,"53,126","3,55,070","1,86,887","1,68,183",415.3,763
727,SUB-DISTRICT,Shahabad ,Urban,189,19,1,"6,475","3,16,794","1,66,946","1,49,848",15,"2,552"
728,SUB-DISTRICT,Milak ,Total,0,0,1,"57,181","38,276","19,941","18,335",401.04,840
728,SUB-DISTRICT,Milak ,Rural,197,5,0,"51,835","3,36,679","1,77,344","1,59,335",390.02,785
728,SUB-DISTRICT,Milak ,Urban,197,5,1,"5,346","3,06,126","1,61,380","1,44,746",11.02,"2,773"
0,DISTRICT,Jyotiba Phule Nagar,Total,0,0,9,"3,14,401","30,553","15,964","14,589",2249,818
0,DISTRICT,Jyotiba Phule Nagar,Rural,959,164,0,"2,35,417","18,40,221","9,63,449","8,76,772",2189.51,631
0,DISTRICT,Jyotiba Phule Nagar,Urban,959,164,9,"78,984","13,81,508","7,24,539","6,56,969",59.49,"7,711"
729,SUB-DISTRICT,Dhanaura,Total,0,0,3,"81,454","4,58,713","2,38,910","2,19,803",711.59,658
729,SUB-DISTRICT,Dhanaura,Rural,288,51,0,"60,222","4,68,098","2,46,015","2,22,083",683.22,515
729,SUB-DISTRICT,Dhanaura,Urban,288,51,3,"21,232","3,51,942","1,85,079","1,66,863",28.37,"4,094"
730,SUB-DISTRICT,Amroha,Total,0,0,4,"1,31,935","1,16,156","60,936","55,220",633.99,"1,224"
730,SUB-DISTRICT,Amroha,Rural,365,44,0,"88,284","7,76,206","4,05,011","3,71,195",613.09,847
730,SUB-DISTRICT,Amroha,Urban,365,44,4,"43,651","5,19,380","2,71,764","2,47,616",20.9,"12,288"
731,SUB-DISTRICT,Hasanpur,Total,0,0,2,"1,01,012","2,56,826","1,33,247","1,23,579",903.42,660
731,SUB-DISTRICT,Hasanpur,Rural,306,69,0,"86,911","5,95,917","3,12,423","2,83,494",893.2,571
731,SUB-DISTRICT,Hasanpur,Urban,306,69,2,"14,101","5,10,186","2,67,696","2,42,490",10.22,"8,389"
0,DISTRICT,Meerut,Total,0,0,18,"5,79,110","85,731","44,727","41,004",2559,"1,346"
0,DISTRICT,Meerut,Rural,604,59,0,"2,71,679","34,43,689","18,25,743","16,17,946",2300.83,732
0,DISTRICT,Meerut,Urban,604,59,18,"3,07,431","16,84,507","8,94,920","7,89,587",258.17,"6,814"
732,SUB-DISTRICT,Sardhana,Total,0,0,4,"91,687","17,59,182","9,30,823","8,28,359",585.32,972
732,SUB-DISTRICT,Sardhana,Rural,128,9,0,"73,827","5,69,091","3,01,213","2,67,878",553.32,827
732,SUB-DISTRICT,Sardhana,Urban,128,9,4,"17,860","4,57,376","2,42,582","2,14,794",32,"3,491"
733,SUB-DISTRICT,Mawana,Total,0,0,6,"1,26,121","1,11,715","58,631","53,084",1044.23,740
733,SUB-DISTRICT,Mawana,Rural,268,37,0,"95,541","7,72,441","4,09,829","3,62,612",1012.67,578
733,SUB-DISTRICT,Mawana,Urban,268,37,6,"30,580","5,85,122","3,11,187","2,73,935",31.56,"5,935"
734,SUB-DISTRICT,Meerut,Total,0,0,8,"3,61,302","1,87,319","98,642","88,677",929.44,"2,262"
734,SUB-DISTRICT,Meerut,Rural,208,13,0,"1,02,311","21,02,157","11,14,701","9,87,456",734.83,874
734,SUB-DISTRICT,Meerut,Urban,208,13,8,"2,58,991","6,42,009","3,41,151","3,00,858",194.61,"7,503"
0,DISTRICT,Baghpat,Total,0,0,8,"2,09,916","14,60,148","7,73,550","6,86,598",1321,986
0,DISTRICT,Baghpat,Rural,290,25,0,"1,64,494","13,03,048","7,00,070","6,02,978",1271.92,808
0,DISTRICT,Baghpat,Urban,290,25,8,"45,422","10,28,023","5,53,807","4,74,216",49.08,"5,604"
735,SUB-DISTRICT,Baraut,Total,0,0,4,"1,15,230","2,75,025","1,46,263","1,28,762",731.01,976
735,SUB-DISTRICT,Baraut,Rural,139,11,0,"89,914","7,13,106","3,84,335","3,28,771",696.15,807
735,SUB-DISTRICT,Baraut,Urban,139,11,4,"25,316","5,62,114","3,03,765","2,58,349",34.86,"4,331"
736,SUB-DISTRICT,Baghpat,Total,0,0,3,"64,795","1,50,992","80,570","70,422",436.81,927
736,SUB-DISTRICT,Baghpat,Rural,103,10,0,"52,797","4,04,950","2,16,540","1,88,410",430.59,765
736,SUB-DISTRICT,Baghpat,Urban,103,10,3,"11,998","3,29,593","1,76,900","1,52,693",6.22,"12,115"
737,SUB-DISTRICT,Khekada,Total,0,0,1,"29,891","75,357","39,640","35,717",153.18,"1,208"
737,SUB-DISTRICT,Khekada,Rural,48,4,0,"21,783","1,84,992","99,195","85,797",145.18,939
737,SUB-DISTRICT,Khekada,Urban,48,4,1,"8,108","1,36,316","73,142","63,174",8,"6,085"
0,DISTRICT,Ghaziabad,Total,0,0,26,"8,50,676","48,676","26,053","22,623",1179,"3,971"
